LD.Intro2	No crowds, no firing squads; just a name removed from the registry and a gentleman escorted to a room he was no longer permitted to leave.	没有人群，没有行刑队；只是从登记册上抹去一个名字，再把一位先生请进一个他再也不被允许离开的房间。	群衆もなく、銃殺隊もない。ただ名簿から名前がひとつ消され、紳士がひとり、二度と出ることを許されない部屋へと案内されただけだった。	Sin multitudes, sin pelotones de fusilamiento; solo un nombre borrado del registro y un caballero acompañado a una habitación que ya no tenía permiso para abandonar.	Ни толпы, ни расстрельной команды; просто имя, вычеркнутое из реестра, и господин, препровождённый в комнату, покидать которую ему больше не дозволялось.	Pas de foule, pas de peloton d'exécution ; juste un nom rayé du registre et un gentleman conduit dans une chambre qu'il n'avait plus le droit de quitter.
LD.Intro3	A grand hotel makes an excellent cage if the bars are polished well enough.	只要栏杆擦得够亮，豪华酒店也能是一只绝好的笼子。	檻の格子さえ十分に磨き上げられていれば、壮麗なホテルは実に見事な鳥籠になる。	Un gran hotel es una jaula excelente, siempre que los barrotes estén bien pulidos.	Роскошный отель — превосходная клетка, если прутья начищены достаточно хорошо.	Un grand hôtel fait une excellente cage, pourvu que les barreaux soient assez bien astiqués.
LD.TestScroll1	Hmm...	嗯……	ふむ……	Mmm...	Хм...	Hmm...
LD.TestScroll2	Rain? Did you say rain?	下雨？你是说下雨吗？	雨？雨って言った？	¿Lluvia? ¿Has dicho lluvia?	Дождь? Ты сказал — дождь?	De la pluie ? Tu as dit de la pluie ?
LD.TestScroll3	Rain or no rain, I'm going to need something to cover up. Maybe that newspaper will do the job? Hmm....	下不下雨，我都得找点东西遮一遮。也许那张报纸就行？嗯……	雨が降ろうが降るまいが、何かかぶるものが要る。あの新聞で足りるだろうか？ふむ……	Llueva o no, voy a necesitar algo para cubrirme. ¿Servirá ese periódico? Mmm...	Дождь или нет, а прикрыться чем-то надо. Может, сгодится вон та газета? Хм...	Pluie ou pas, il va me falloir de quoi me couvrir. Ce journal fera peut-être l'affaire ? Hmm...
LD.Charity	Hey, you look down on your luck. Here, take this.	嘿，你看上去挺落魄的。拿着这个吧。	おい、ずいぶん困っているようだな。これを持っていけ。	Oye, se te ve con mala suerte. Toma, quédatelo.	Эй, у тебя, похоже, дела неважные. Вот, возьми.	Hé, tu as l'air d'avoir la guigne. Tiens, prends ça.
LD.CharityAward	You received 1 copper.	你获得了 1 枚铜币。	銅貨を1枚手に入れた。	Has recibido 1 moneda de cobre.	Вы получили 1 медную монету.	Vous avez reçu 1 pièce de cuivre.
UI.Inventory.Title	Inventory	物品栏	持ち物	Inventario	Инвентарь	Inventaire
UI.Inventory.Close	Close	关闭	閉じる	Cerrar	Закрыть	Fermer
UI.Inventory.Empty	Your pockets are empty.	你的口袋空空如也。	ポケットは空だ。	Tus bolsillos están vacíos.	Ваши карманы пусты.	Vos poches sont vides.
UI.Inventory.SelectPrompt	Select an item to inspect it.	选择一件物品来查看。	アイテムを選んで確かめる。	Selecciona un objeto para examinarlo.	Выберите предмет, чтобы осмотреть его.	Sélectionnez un objet pour l'examiner.
UI.Inventory.Value	Value {0}  ·  Sells for {1}	价值 {0}  ·  售价 {1}	価値 {0}  ·  売値 {1}	Valor {0}  ·  Se vende por {1}	Ценность {0}  ·  Продажа за {1}	Valeur {0}  ·  Se vend {1}
LD.TestScroll4	Huh?	啊？	え？	¿Eh?	А?	Hein ?
LD.TestScroll5	No way!	不会吧！	まさか！	¡No puede ser!	Да ну!	Pas possible !
LD.TestScroll6	Nevermind...	算了……	なんでもない……	Da igual...	Ладно, неважно...	Laisse tomber...
LD.WaterEdge	She is going to lose it if I show up drenched... Besides, I'm pretty sure there's a shark in there.	我要是浑身湿透地出现，她非发火不可……再说，我很确定那里面有鲨鱼。	びしょ濡れで現れたら、彼女はきっと怒り狂う……それに、あそこにはサメがいる気がする。	Se va a poner hecha una furia si aparezco empapado... Además, estoy casi seguro de que hay un tiburón ahí dentro.	Она с ума сойдёт, если я явлюсь насквозь мокрым... К тому же я почти уверен, что там акула.	Elle va péter un câble si je débarque trempé... Et puis, je suis presque sûr qu'il y a un requin là-dedans.
